tex,image_path
\int \cos^2 \pi x \sin -2x dx,images/img_0000131.png
\int x \sqrt{4 x^2 + 5x + 6} dx,images/img_0000132.png
\int \sin^2 -8x \cos^2 -7x dx,images/img_0000133.png
\int \cos ex \cosh -3x dx,images/img_0000134.png
\int \frac{1}{(-8)^2+x^2} dx,images/img_0000135.png
\int e^{ex} \sinh 3x dx,images/img_0000136.png
\int \frac{x}{-1x^2-5x+e} dx,images/img_0000137.png
\int \sin^2 \cdot ex \cos^2 bx dx,images/img_0000138.png
\int x(x-2)^6 dx,images/img_0000139.png
\int \ln ( x^2 + 7^2 ) {dx},images/img_0000140.png
\int e^{-7x} \sinh 1x dx,images/img_0000141.png
\int \sqrt{x(1x+6)} dx,images/img_0000142.png
\int \ln (\pi x + \pi ) dx,images/img_0000143.png
\int \frac{1}{(x+7)(x+2)} dx,images/img_0000144.png
\int \sinh -5x \cosh -5x dx,images/img_0000145.png
\int \frac{1}{8x+b} dx,images/img_0000146.png
\int (-8x-4)^{3/2} dx,images/img_0000147.png
\int x(x+1)^5 dx,images/img_0000148.png
\int \sqrt{-3x-8} dx,images/img_0000149.png
\int \ln (\pi x + 5) dx,images/img_0000150.png
\int \sin^n -2x dx,images/img_0000151.png
\int \ln (ex + \pi ) dx,images/img_0000152.png
\int \sinh 8x \cosh 8x dx,images/img_0000153.png
\int \ln ( x^2 + 6^2 ) {dx},images/img_0000154.png
\int \cos 8x \sinh -1x dx,images/img_0000155.png
\int \frac{1}{(x-6)(x-2)} dx,images/img_0000156.png
\int \sqrt{a x^2 -4 x -8} dx,images/img_0000157.png
\int \frac{x^3}{a^2+x^2} dx,images/img_0000158.png
\int \frac{x}{\sqrt{7x^2+6x-3}} dx,images/img_0000159.png
\int \sin -1x \cosh -1x dx,images/img_0000160.png
\int \cos 6x \sinh -6x dx,images/img_0000161.png
\int \sec^2 -4x dx,images/img_0000162.png
\int \sqrt{ax+3} dx,images/img_0000163.png
\int \frac{\ln 1x}{x} dx,images/img_0000164.png
\int \sin^2 -9x \cos -6x dx,images/img_0000165.png
\int e^{\pi x} \sin ax dx,images/img_0000166.png
\int x(x+e)^4 dx,images/img_0000167.png
\int \sin^2 5x \cos^2 -5x dx,images/img_0000168.png
\int e^{9x} \sinh -2x dx,images/img_0000169.png
\int e^{-8x} \cos 4x dx,images/img_0000170.png
\int \sinh -7x \cosh 9x dx,images/img_0000171.png
\int x \ln (-3x + 1) dx,images/img_0000172.png
\int x \ln (1x -7) dx,images/img_0000173.png
\int \tan^2 ax dx,images/img_0000174.png
\int \sin^n -7x dx,images/img_0000175.png
\int \sin ax \cosh 7x dx,images/img_0000176.png
\int \sec^2 \cdot ex dx,images/img_0000177.png
\int \frac{1}{\sqrt{x^2 + 2^2}} dx,images/img_0000178.png
\int x\sqrt{x-5} dx,images/img_0000179.png
\int \sin^2 6x \cos^2 6x dx,images/img_0000180.png
\int e^{1x} \cosh -7x dx,images/img_0000181.png
\int \frac{x}{9x^2+8x+c} dx,images/img_0000182.png
\int \sin^2 -4x \cos -9x dx,images/img_0000183.png
\int \sqrt{x(-6x+\pi )} dx,images/img_0000184.png
\int e^{3x^2} dx,images/img_0000185.png
\int \tan^9 4x dx,images/img_0000186.png
\int \sinh -9x \cosh 7x dx,images/img_0000187.png
\int x \sqrt{ax -8} dx,images/img_0000188.png
\int \frac{x}{\sqrt{x+ 7} } dx,images/img_0000189.png
\int \sqrt{(-3)^2 - x^2} dx,images/img_0000190.png
\int \frac{x}{-1x^2+3x+6} dx,images/img_0000191.png
\int \frac{1}{(x+7)(x-5)} dx,images/img_0000192.png
\int \frac{1}{(x-5)(x-6)} dx,images/img_0000193.png
\int \sin -2x \cosh -1x dx,images/img_0000194.png
\int (x+1)^8 dx,images/img_0000195.png
\int \frac{x}{\sqrt{-3x^2+ex-1}} dx,images/img_0000196.png
\int \tan 7x dx,images/img_0000197.png
\int \frac{1}{\sqrt{4-x}} dx,images/img_0000198.png
\int \sqrt{-8x+2} dx,images/img_0000199.png
\int e^{8x} \tanh bx dx,images/img_0000200.png
\int e^{2x} \cos \pi x dx,images/img_0000201.png
\int x e^{-4x^2} {dx},images/img_0000202.png
\int \frac{1}{\sqrt{x^2 + 8^2}} dx,images/img_0000203.png
\int e^{6x} \cosh -3x dx,images/img_0000204.png
\int x \sin 2x dx,images/img_0000205.png
\int \cos 9x dx,images/img_0000206.png
\int \cos^2 -2x dx,images/img_0000207.png
\int (7x-3)^{3/2} dx,images/img_0000208.png
\int \sin 4x \sinh -4x dx,images/img_0000209.png
\int \frac{1}{(x-1)^2} dx,images/img_0000210.png
\int \tan^2 -5x dx,images/img_0000211.png
\int x \sqrt{-9 x^2 -8x -7} dx,images/img_0000212.png
\int x \sqrt{x^2 + 2^2} dx,images/img_0000213.png
\int \sqrt{\frac{x}{-4-x}} dx,images/img_0000214.png
\int x(x+e)^3 dx,images/img_0000215.png
\int \frac{x}{\sqrt{-9x^2-7x+1}} dx,images/img_0000216.png
\int \ln \left ( 1x^2 + 6x + 1\right) dx,images/img_0000217.png
\int \sqrt{x^3(5x-8)} dx,images/img_0000218.png
\int e^{\pi x} \tanh 9x dx,images/img_0000219.png
\int \cos 7x dx,images/img_0000220.png
\int e^{4x} \sinh 3x dx,images/img_0000221.png
\int \sqrt{8x+e} dx,images/img_0000222.png
\int \csc^7x \cot x dx,images/img_0000223.png
\int \cos -9x \sinh 5x dx,images/img_0000224.png
\int x \ln (-7x + 2) dx,images/img_0000225.png
\int \frac{1}{\sqrt{x^2 + (-3)^2}} dx,images/img_0000226.png
\int x(x-8)^7 dx,images/img_0000227.png
\int \sqrt{\frac{x}{8+x}} dx,images/img_0000228.png
\int \cosh ax dx,images/img_0000229.png
\int \sqrt{x+2} dx,images/img_0000230.png
\int \cos -9x \sin -1x dx,images/img_0000231.png
\int \sec^\pi x \tan x dx,images/img_0000232.png
\int \ln (7x -7) dx,images/img_0000233.png
\int \ln \left ( -1x^2 -4x -9\right) dx,images/img_0000234.png
\int \sin^2 1x dx,images/img_0000235.png
\int \sqrt{x(-3x+\pi )} dx,images/img_0000236.png
\int \tan^2 6x dx,images/img_0000237.png
\int \sin -1x \sinh -6x dx,images/img_0000238.png
\int\frac{1}{\sqrt{7x^2-4x+c}} dx,images/img_0000239.png
\int e^{ex} \sin -9x dx,images/img_0000240.png
\int (-4x-6)^{3/2} dx,images/img_0000241.png
\int \ln ( x^2 - 6^2 ) {dx},images/img_0000242.png
\int\frac{dx}{(8^2+x^2)^{3/2}},images/img_0000243.png
\int e^{6x} \cosh bx dx,images/img_0000244.png
\int \sin^2 2x \cos^2 2x dx,images/img_0000245.png
\int \ln (-5x -8) dx,images/img_0000246.png
\int \frac{1}{\sqrt{x+ 8}} dx,images/img_0000247.png
\int x \sin 6x dx,images/img_0000248.png
\int \frac{1}{\sqrt{4^2 - x^2}} dx,images/img_0000249.png
\int \ln (2x + 5) dx,images/img_0000250.png
\int \sqrt{-1 x^2 -8 x + \pi } dx,images/img_0000251.png
\int e^{-2x} \cos -9x dx,images/img_0000252.png
\int (x-7)^3 dx,images/img_0000253.png
\int \sqrt{x^3(-4x-3)} dx,images/img_0000254.png
\int (\pi x-1)^{3/2} dx,images/img_0000255.png
\int x(x-6)^8 dx,images/img_0000256.png
\int \sin -2x \sinh 9x dx,images/img_0000257.png
\int \frac{\ln -2x}{x} dx,images/img_0000258.png
\int \frac{1}{\pi x+3} dx,images/img_0000259.png
\int (\ln x)^3 dx,images/img_0000260.png
\int e^{-1x} \sinh -3x dx,images/img_0000261.png
\int \frac{1}{6^2+x^2} dx,images/img_0000262.png
\int \frac{1}{\sqrt{x^2 + (-8)^2}} dx,images/img_0000263.png
\int x^\pi \cos 1x dx,images/img_0000264.png
\int\sqrt{x^2 + (-7)^2} dx,images/img_0000265.png
\int e^{-6x} \sin 4x dx,images/img_0000266.png
\int x\sqrt{x+3} dx,images/img_0000267.png
\int \frac{1}{\sqrt{3^2 - x^2}} dx,images/img_0000268.png
\int e^{-3x} \sinh 3x dx,images/img_0000269.png
\int \frac{x}{\sqrt{4x^2+\pi x-8}} dx,images/img_0000270.png
\int \tan -7x dx,images/img_0000271.png
\int \sqrt{x^3(8x+\pi )} dx,images/img_0000272.png
\int x \ln (-2x -2) dx,images/img_0000273.png
\int e^{-4x} \sin -6x dx,images/img_0000274.png
\int \frac{x}{\sqrt{2x^2-6x+7}} dx,images/img_0000275.png
\int\sqrt{x^2 + 2^2} dx,images/img_0000276.png
\int \frac{1}{(x+4)(x-1)} dx,images/img_0000277.png
\int \cos^2 \cdot ex \sin 3x dx,images/img_0000278.png
\int x \sqrt{x^2 + 6^2} dx,images/img_0000279.png
\int \sqrt{x(\pi x-4)} dx,images/img_0000280.png
\int \cos^2 -1x \sin -1x dx,images/img_0000281.png
\int (3x+5)^{3/2} dx,images/img_0000282.png
\int e^{7x} \sin 3x dx,images/img_0000283.png
\int x^n \cos -8x dx,images/img_0000284.png
\int x \sqrt{3x + 4} dx,images/img_0000285.png
\int \sqrt{1 x^2 + 4 x + 7} dx,images/img_0000286.png
\int x \sqrt{-1 x^2 + 2x + 1} dx,images/img_0000287.png
\int \sin^2 5x \cos 2x dx,images/img_0000288.png
\int \cos^p 5x dx,images/img_0000289.png
\int \sinh -3x \cosh -4x dx,images/img_0000290.png
\int \ln \left ( ex^2 + 8x -8\right) dx,images/img_0000291.png
\int \frac{x^3}{4^2+x^2} dx,images/img_0000292.png
\int \cos 6x \sin -6x dx,images/img_0000293.png
\int \sqrt{x} e^{4x} dx,images/img_0000294.png
\int x \sqrt{-7x -8} dx,images/img_0000295.png
\int \frac{x}{\sqrt{x-7} } dx,images/img_0000296.png
\int \cos^2 7x \sin 7x dx,images/img_0000297.png
\int \cos^2 1x \sin -6x dx,images/img_0000298.png
\int \sqrt{x^3(8x+2)} dx,images/img_0000299.png
\int \sqrt{1x+\pi } dx,images/img_0000300.png
\int \cos^2 \pi x \sin -3x dx,images/img_0000301.png
\int \sinh 8x \cosh -7x dx,images/img_0000302.png
\int x \cos 5x dx,images/img_0000303.png
\int (8x+7)^{3/2} dx,images/img_0000304.png
\int x^6 \sin x dx,images/img_0000305.png
\int x \ln (\pi x + \pi ) dx,images/img_0000306.png
\int\frac{1}{\sqrt{ax^2+9x-7}} dx,images/img_0000307.png
\int \frac{x}{\sqrt{a^2-x^2}} dx,images/img_0000308.png
\int \sqrt{x^3(ax-8)} dx,images/img_0000309.png
\int \frac{1}{\pi ^2+x^2} dx,images/img_0000310.png
\int \cos^2 -8x \sin -9x dx,images/img_0000311.png
\int \frac{1}{\sqrt{x-1}} dx,images/img_0000312.png
\int e^{-7x} \sinh 3x dx,images/img_0000313.png
\int \frac{1}{\sqrt{8-x}} dx,images/img_0000314.png
\int \sin^2 -2x \cos 1x dx,images/img_0000315.png
\int x \sqrt{9 x^2 -3x + 3} dx,images/img_0000316.png
\int \frac{1}{2^2+x^2} dx,images/img_0000317.png
\int x \sqrt{4x + \pi } dx,images/img_0000318.png
\int \frac{x}{-1x^2-3x+\pi } dx,images/img_0000319.png
\int\frac{dx}{((-3)^2+x^2)^{3/2}},images/img_0000320.png
\int e^{9x} \cosh -6x dx,images/img_0000321.png
\int x^2 e^{\pi x} dx,images/img_0000322.png
\int (x-3)^9 dx,images/img_0000323.png
\int \cos -5x \sin -5x dx,images/img_0000324.png
\int \frac{1}{\sqrt{9-x}} dx,images/img_0000325.png
\int \frac{1}{9x^2+7x+4} dx,images/img_0000326.png
\int \sinh 4x \cosh 6x dx,images/img_0000327.png
\int e^{1x} \tanh 2x dx,images/img_0000328.png
\int \sqrt{x(6x+5)} dx,images/img_0000329.png
\int \sin 1x dx,images/img_0000330.png
\int x \sqrt{-2x + 1} dx,images/img_0000331.png
\int \frac{1}{\sqrt{7-x}} dx,images/img_0000332.png
\int \ln \left ( 7x^2 -4x + 7\right) dx,images/img_0000333.png
\int (x+5)^n dx,images/img_0000334.png
\int (ex+5)^{3/2} dx,images/img_0000335.png
\int \csc x dx,images/img_0000336.png
\int \frac{x^2}{\sqrt{x^2 + 2^2}} dx,images/img_0000337.png
\int x^2 e^{+4x^2} {dx},images/img_0000338.png
\int \sqrt{1 x^2 + 6 x + 2} dx,images/img_0000339.png
\int x^n e^{9x} dx,images/img_0000340.png
\int x \sqrt{-7 x^2 -1x + 1} dx,images/img_0000341.png
\int \sin^2 -7x dx,images/img_0000342.png
\int x e^{ax} dx,images/img_0000343.png
\int \sqrt{-2 x^2 + 1 x + 9} dx,images/img_0000344.png
\int x(x+6)^n dx,images/img_0000345.png
\int \ln -6x dx,images/img_0000346.png
\int x \sin 9x dx,images/img_0000347.png
\int \frac{x^3}{\pi ^2+x^2} dx,images/img_0000348.png
\int\sqrt{x^2 + 8^2} dx,images/img_0000349.png
\int \frac{1}{(x+7)(x+1)} dx,images/img_0000350.png
\int\frac{1}{\sqrt{7x^2+9x-1}} dx,images/img_0000351.png
\int \frac{1}{(x+6)(x+3)} dx,images/img_0000352.png
\int \cos^2 \pi x \sin 9x dx,images/img_0000353.png
\int e^{\pi x} \sin 3x dx,images/img_0000354.png
\int \frac{1}{(x+1)(x-4)} dx,images/img_0000355.png
\int \sin^2 2x \cos 6x dx,images/img_0000356.png
\int \cos -7x \sin 9x dx,images/img_0000357.png
\int \frac{1}{6x+6} dx,images/img_0000358.png
\int x \sqrt{x^2 + 3^2} dx,images/img_0000359.png
\int \sin^2 1x \cos^2 5x dx,images/img_0000360.png
\int \frac{1}{ex+2} dx,images/img_0000361.png
\int e^{ax} \tanh -4x dx,images/img_0000362.png
\int \frac{x}{9x^2-9x+4} dx,images/img_0000363.png
\int \frac{x^2}{(-3)^2+x^2} dx,images/img_0000364.png
\int \ln \left ( -4x^2 + 4x + 5\right) dx,images/img_0000365.png
\int x \ln \left ( (-1)^2 - 8^2 x^2 \right ) dx,images/img_0000366.png
\int \sqrt{8^2 - x^2} dx,images/img_0000367.png
\int x e^{5x} dx,images/img_0000368.png
\int x^7 dx,images/img_0000369.png
\int \sqrt{\frac{x}{2+x}} dx,images/img_0000370.png
\int x^2 \sin 2x dx,images/img_0000371.png
\int \sin 8x \cosh -4x dx,images/img_0000372.png
\int \sqrt{-9 x^2 + 8 x -6} dx,images/img_0000373.png
\int\sqrt{x^2 + (-5)^2} dx,images/img_0000374.png
\int \frac{x}{\sqrt{-5x^2+9x-1}} dx,images/img_0000375.png
\int \ln ( x^2 + 2^2 ) {dx},images/img_0000376.png
\int\frac{1}{\sqrt{-9x^2+3x-5}} dx,images/img_0000377.png
\int \sqrt{-4 x^2 -5 x + 9} dx,images/img_0000378.png
\int \cos 4x \sinh -5x dx,images/img_0000379.png
\int \cosh \pi x dx,images/img_0000380.png
\int \cos 2x \sinh 5x dx,images/img_0000381.png
\int \ln (1x + 1) dx,images/img_0000382.png
\int x^2 \sin 3x dx,images/img_0000383.png
\int x \cos -4x dx,images/img_0000384.png
\int \frac{1}{-3x+\pi } dx,images/img_0000385.png
\int e^{7x} \cosh 1x dx,images/img_0000386.png
\int \sqrt{(-8)^2 - x^2} dx,images/img_0000387.png
\int e^{bx} \cos -6x dx,images/img_0000388.png
\int \sqrt{x^3(5x-2)} dx,images/img_0000389.png
\int\frac{dx}{(9^2+x^2)^{3/2}},images/img_0000390.png
\int \frac{x}{\sqrt{x^2+ 9^2}} dx,images/img_0000391.png
\int\frac{dx}{((-5)^2+x^2)^{3/2}},images/img_0000392.png
\int \sqrt{\pi x^2 -8 x + 5} dx,images/img_0000393.png
\int \sqrt{5x-1} dx,images/img_0000394.png
\int \tan^9 -8x dx,images/img_0000395.png
\int x^2 e^{+3x^2} {dx},images/img_0000396.png
\int \cos -8x \sin 6x dx,images/img_0000397.png
\int \cos 6x \cosh 1x dx,images/img_0000398.png
\int \sqrt{\frac{x}{\pi -x}} dx,images/img_0000399.png
\int \frac{x}{\sqrt{x^2+ 5^2}} dx,images/img_0000400.png
\int e^{2x} \cos 2x dx,images/img_0000401.png
\int \frac{1}{-7x-1} dx,images/img_0000402.png
\int \cos^p -2x dx,images/img_0000403.png
\int\sqrt{x^2 + 9^2} dx,images/img_0000404.png
\int \ln ( x^2 - (-9)^2 ) {dx},images/img_0000405.png
\int \frac{x}{\sqrt{-6x^2-4x-7}} dx,images/img_0000406.png
\int \frac{x}{(x-4)^2} dx,images/img_0000407.png
\int \sqrt{x+9} dx,images/img_0000408.png
\int \cos -2x \cosh 2x dx,images/img_0000409.png
\int \frac{1}{-2x^2-7x+6} dx,images/img_0000410.png
\int \sqrt{-4 x^2 -4 x -8} dx,images/img_0000411.png
\int x \sin -8x dx,images/img_0000412.png
\int \sinh 1x \cosh -5x dx,images/img_0000413.png
\int \sin^2 -4x \cos^2 \pi x dx,images/img_0000414.png
\int x^n \cos x dx,images/img_0000415.png
\int e^{1x} \tanh 1x dx,images/img_0000416.png
\int \sec^2 1x dx,images/img_0000417.png
\int x \sqrt{\pi x -9} dx,images/img_0000418.png
\int e^{bx} \cos 2x dx,images/img_0000419.png
\int \ln ( x^2 - (-3)^2 ) {dx},images/img_0000420.png
\int \frac{x}{\sqrt{x^2+ e^2}} dx,images/img_0000421.png
\int e^{7x} \cosh \pi x dx,images/img_0000422.png
\int e^{-6x} \cos -2x dx,images/img_0000423.png
\int \tan^4 6x dx,images/img_0000424.png
\int x \sin ax dx,images/img_0000425.png
\int (x+3)^7 dx,images/img_0000426.png
\int \frac{1}{(-1)^2+x^2} dx,images/img_0000427.png
\int \sqrt{x^3(-2x+4)} dx,images/img_0000428.png
\int \cos -7x \sinh 5x dx,images/img_0000429.png
\int \sinh ex \cosh -9x dx,images/img_0000430.png
\int x^3 \cos 2x dx,images/img_0000431.png
\int \frac{x}{\sqrt{8^2-x^2}} dx,images/img_0000432.png
\int e^{1x} \sinh 6x dx,images/img_0000433.png
\int \sinh -9x dx,images/img_0000434.png
\int x \ln \left ( e^2 - \pi ^2 x^2 \right ) dx,images/img_0000435.png
\int \ln \left ( -3x^2 -5x -3\right) dx,images/img_0000436.png
\int (x-2)^9 dx,images/img_0000437.png
\int \cos^3 3x dx,images/img_0000438.png
\int x \sin -1x dx,images/img_0000439.png
\int e^{3x} \cos 4x dx,images/img_0000440.png
\int (-2x+3)^{3/2} dx,images/img_0000441.png
\int \frac{1}{(x+9)(x+1)} dx,images/img_0000442.png
\int \sin -7x \sinh bx dx,images/img_0000443.png
\int \sin^2 \pi x \cos -1x dx,images/img_0000444.png
\int \sqrt{-6 x^2 + 5 x -4} dx,images/img_0000445.png
\int \sin 6x dx,images/img_0000446.png
\int \sin -8x \cosh -6x dx,images/img_0000447.png
\int e^{-4x} \sinh 5x dx,images/img_0000448.png
\int \cos^2 -2x \sin -2x dx,images/img_0000449.png
\int \sin ax \cosh bx dx,images/img_0000450.png
\int \tan 3x dx,images/img_0000451.png
\int \sin^2 7x \cos^2 7x dx,images/img_0000452.png
\int \sqrt{\frac{x}{-3-x}} dx,images/img_0000453.png
\int \frac{x}{\sqrt{6^2-x^2}} dx,images/img_0000454.png
\int \frac{x}{(x-1)^2} dx,images/img_0000455.png
\int \frac{x^3}{7^2+x^2} dx,images/img_0000456.png
\int \sqrt{\frac{x}{-8+x}} dx,images/img_0000457.png
\int \frac{1}{(x-6)^2} dx,images/img_0000458.png
\int x^e \ln x dx,images/img_0000459.png
\int \cos -9x \sinh \pi x dx,images/img_0000460.png
\int e^{+8x^2} dx,images/img_0000461.png
\int \sqrt{-3x+9} dx,images/img_0000462.png
\int \ln ( x^2 - (-8)^2 ) {dx},images/img_0000463.png
\int \sqrt{1x+3} dx,images/img_0000464.png
\int \sin 8x \sinh 5x dx,images/img_0000465.png
\int \sinh 2x \cosh 2x dx,images/img_0000466.png
\int \tan^2 3x dx,images/img_0000467.png
\int x^2 \cos 3x dx,images/img_0000468.png
\int \sqrt{5^2 - x^2} dx,images/img_0000469.png
\int \frac{x}{\sqrt{x+ 3} } dx,images/img_0000470.png
\int \frac{1}{\sqrt{x^2 + (-7)^2}} dx,images/img_0000471.png
\int e^{4x} \sinh -8x dx,images/img_0000472.png
\int e^{-5x} dx,images/img_0000473.png
\int \frac{x^3}{1^2+x^2} dx,images/img_0000474.png
